,Genotype,Treatment,Behavior,class
657,Ts65Dn,Memantine,C/S,t-CS-m
658,Ts65Dn,Memantine,C/S,t-CS-m
659,Ts65Dn,Memantine,C/S,t-CS-m
660,Ts65Dn,Memantine,C/S,t-CS-m
661,Ts65Dn,Memantine,C/S,t-CS-m
662,Ts65Dn,Memantine,C/S,t-CS-m
663,Ts65Dn,Memantine,C/S,t-CS-m
664,Ts65Dn,Memantine,C/S,t-CS-m
665,Ts65Dn,Memantine,C/S,t-CS-m
666,Ts65Dn,Memantine,C/S,t-CS-m
667,Ts65Dn,Memantine,C/S,t-CS-m
668,Ts65Dn,Memantine,C/S,t-CS-m
669,Ts65Dn,Memantine,C/S,t-CS-m
670,Ts65Dn,Memantine,C/S,t-CS-m
671,Ts65Dn,Memantine,C/S,t-CS-m
672,Ts65Dn,Memantine,C/S,t-CS-m
673,Ts65Dn,Memantine,C/S,t-CS-m
674,Ts65Dn,Memantine,C/S,t-CS-m
675,Ts65Dn,Memantine,C/S,t-CS-m
676,Ts65Dn,Memantine,C/S,t-CS-m
677,Ts65Dn,Memantine,C/S,t-CS-m
678,Ts65Dn,Memantine,C/S,t-CS-m
679,Ts65Dn,Memantine,C/S,t-CS-m
680,Ts65Dn,Memantine,C/S,t-CS-m
681,Ts65Dn,Memantine,C/S,t-CS-m
682,Ts65Dn,Memantine,C/S,t-CS-m
683,Ts65Dn,Memantine,C/S,t-CS-m
684,Ts65Dn,Memantine,C/S,t-CS-m
685,Ts65Dn,Memantine,C/S,t-CS-m
686,Ts65Dn,Memantine,C/S,t-CS-m
687,Ts65Dn,Memantine,C/S,t-CS-m
688,Ts65Dn,Memantine,C/S,t-CS-m
689,Ts65Dn,Memantine,C/S,t-CS-m
690,Ts65Dn,Memantine,C/S,t-CS-m
691,Ts65Dn,Memantine,C/S,t-CS-m
692,Ts65Dn,Memantine,C/S,t-CS-m
693,Ts65Dn,Memantine,C/S,t-CS-m
694,Ts65Dn,Memantine,C/S,t-CS-m
695,Ts65Dn,Memantine,C/S,t-CS-m
696,Ts65Dn,Memantine,C/S,t-CS-m
697,Ts65Dn,Memantine,C/S,t-CS-m
698,Ts65Dn,Memantine,C/S,t-CS-m
699,Ts65Dn,Memantine,C/S,t-CS-m
700,Ts65Dn,Memantine,C/S,t-CS-m
701,Ts65Dn,Memantine,C/S,t-CS-m
702,Ts65Dn,Memantine,C/S,t-CS-m
703,Ts65Dn,Memantine,C/S,t-CS-m
704,Ts65Dn,Memantine,C/S,t-CS-m
705,Ts65Dn,Memantine,S/C,t-SC-m
706,Ts65Dn,Memantine,S/C,t-SC-m
707,Ts65Dn,Memantine,S/C,t-SC-m
708,Ts65Dn,Memantine,S/C,t-SC-m
709,Ts65Dn,Memantine,S/C,t-SC-m
710,Ts65Dn,Memantine,S/C,t-SC-m
711,Ts65Dn,Memantine,S/C,t-SC-m
712,Ts65Dn,Memantine,S/C,t-SC-m
713,Ts65Dn,Memantine,S/C,t-SC-m
714,Ts65Dn,Memantine,S/C,t-SC-m
715,Ts65Dn,Memantine,S/C,t-SC-m
716,Ts65Dn,Memantine,S/C,t-SC-m
717,Ts65Dn,Memantine,S/C,t-SC-m
718,Ts65Dn,Memantine,S/C,t-SC-m
719,Ts65Dn,Memantine,S/C,t-SC-m
720,Ts65Dn,Memantine,S/C,t-SC-m
721,Ts65Dn,Memantine,S/C,t-SC-m
722,Ts65Dn,Memantine,S/C,t-SC-m
723,Ts65Dn,Memantine,S/C,t-SC-m
724,Ts65Dn,Memantine,S/C,t-SC-m
725,Ts65Dn,Memantine,S/C,t-SC-m
726,Ts65Dn,Memantine,S/C,t-SC-m
727,Ts65Dn,Memantine,S/C,t-SC-m
728,Ts65Dn,Memantine,S/C,t-SC-m
729,Ts65Dn,Memantine,S/C,t-SC-m
730,Ts65Dn,Memantine,S/C,t-SC-m
731,Ts65Dn,Memantine,S/C,t-SC-m
732,Ts65Dn,Memantine,S/C,t-SC-m
733,Ts65Dn,Memantine,S/C,t-SC-m
734,Ts65Dn,Memantine,S/C,t-SC-m
735,Ts65Dn,Memantine,S/C,t-SC-m
736,Ts65Dn,Memantine,S/C,t-SC-m
737,Ts65Dn,Memantine,S/C,t-SC-m
738,Ts65Dn,Memantine,S/C,t-SC-m
739,Ts65Dn,Memantine,S/C,t-SC-m
740,Ts65Dn,Memantine,S/C,t-SC-m
741,Ts65Dn,Memantine,S/C,t-SC-m
742,Ts65Dn,Memantine,S/C,t-SC-m
743,Ts65Dn,Memantine,S/C,t-SC-m
744,Ts65Dn,Memantine,S/C,t-SC-m
745,Ts65Dn,Memantine,S/C,t-SC-m
746,Ts65Dn,Memantine,S/C,t-SC-m
747,Ts65Dn,Memantine,S/C,t-SC-m
748,Ts65Dn,Memantine,S/C,t-SC-m
749,Ts65Dn,Memantine,S/C,t-SC-m
750,Ts65Dn,Memantine,S/C,t-SC-m
751,Ts65Dn,Memantine,S/C,t-SC-m
752,Ts65Dn,Memantine,S/C,t-SC-m
753,Ts65Dn,Memantine,S/C,t-SC-m
754,Ts65Dn,Memantine,S/C,t-SC-m
755,Ts65Dn,Memantine,S/C,t-SC-m
756,Ts65Dn,Memantine,S/C,t-SC-m
757,Ts65Dn,Memantine,S/C,t-SC-m
758,Ts65Dn,Memantine,S/C,t-SC-m
759,Ts65Dn,Memantine,S/C,t-SC-m
760,Ts65Dn,Memantine,S/C,t-SC-m
761,Ts65Dn,Memantine,S/C,t-SC-m
762,Ts65Dn,Memantine,S/C,t-SC-m
763,Ts65Dn,Memantine,S/C,t-SC-m
764,Ts65Dn,Memantine,S/C,t-SC-m
765,Ts65Dn,Memantine,S/C,t-SC-m
766,Ts65Dn,Memantine,S/C,t-SC-m
767,Ts65Dn,Memantine,S/C,t-SC-m
768,Ts65Dn,Memantine,S/C,t-SC-m
769,Ts65Dn,Memantine,S/C,t-SC-m
770,Ts65Dn,Memantine,S/C,t-SC-m
771,Ts65Dn,Memantine,S/C,t-SC-m
772,Ts65Dn,Memantine,S/C,t-SC-m
773,Ts65Dn,Memantine,S/C,t-SC-m
774,Ts65Dn,Memantine,S/C,t-SC-m
775,Ts65Dn,Memantine,S/C,t-SC-m
776,Ts65Dn,Memantine,S/C,t-SC-m
777,Ts65Dn,Memantine,S/C,t-SC-m
778,Ts65Dn,Memantine,S/C,t-SC-m
779,Ts65Dn,Memantine,S/C,t-SC-m
780,Ts65Dn,Memantine,S/C,t-SC-m
781,Ts65Dn,Memantine,S/C,t-SC-m
782,Ts65Dn,Memantine,S/C,t-SC-m
783,Ts65Dn,Memantine,S/C,t-SC-m
784,Ts65Dn,Memantine,S/C,t-SC-m
785,Ts65Dn,Memantine,S/C,t-SC-m
786,Ts65Dn,Memantine,S/C,t-SC-m
787,Ts65Dn,Memantine,S/C,t-SC-m
788,Ts65Dn,Memantine,S/C,t-SC-m
789,Ts65Dn,Memantine,S/C,t-SC-m
790,Ts65Dn,Memantine,S/C,t-SC-m
791,Ts65Dn,Memantine,S/C,t-SC-m
792,Ts65Dn,Memantine,S/C,t-SC-m
793,Ts65Dn,Memantine,S/C,t-SC-m
794,Ts65Dn,Memantine,S/C,t-SC-m
795,Ts65Dn,Memantine,S/C,t-SC-m
796,Ts65Dn,Memantine,S/C,t-SC-m
797,Ts65Dn,Memantine,S/C,t-SC-m
798,Ts65Dn,Memantine,S/C,t-SC-m
799,Ts65Dn,Memantine,S/C,t-SC-m
800,Ts65Dn,Memantine,S/C,t-SC-m
801,Ts65Dn,Memantine,S/C,t-SC-m
802,Ts65Dn,Memantine,S/C,t-SC-m
803,Ts65Dn,Memantine,S/C,t-SC-m
804,Ts65Dn,Memantine,S/C,t-SC-m
805,Ts65Dn,Memantine,S/C,t-SC-m
806,Ts65Dn,Memantine,S/C,t-SC-m
807,Ts65Dn,Memantine,S/C,t-SC-m
808,Ts65Dn,Memantine,S/C,t-SC-m
809,Ts65Dn,Memantine,S/C,t-SC-m
810,Ts65Dn,Memantine,S/C,t-SC-m
811,Ts65Dn,Memantine,S/C,t-SC-m
812,Ts65Dn,Memantine,S/C,t-SC-m
813,Ts65Dn,Memantine,S/C,t-SC-m
814,Ts65Dn,Memantine,S/C,t-SC-m
815,Ts65Dn,Memantine,S/C,t-SC-m
816,Ts65Dn,Memantine,S/C,t-SC-m
817,Ts65Dn,Memantine,S/C,t-SC-m
818,Ts65Dn,Memantine,S/C,t-SC-m
819,Ts65Dn,Memantine,S/C,t-SC-m
820,Ts65Dn,Memantine,S/C,t-SC-m
821,Ts65Dn,Memantine,S/C,t-SC-m
822,Ts65Dn,Memantine,S/C,t-SC-m
823,Ts65Dn,Memantine,S/C,t-SC-m
824,Ts65Dn,Memantine,S/C,t-SC-m
825,Ts65Dn,Memantine,S/C,t-SC-m
826,Ts65Dn,Memantine,S/C,t-SC-m
827,Ts65Dn,Memantine,S/C,t-SC-m
828,Ts65Dn,Memantine,S/C,t-SC-m
829,Ts65Dn,Memantine,S/C,t-SC-m
830,Ts65Dn,Memantine,S/C,t-SC-m
831,Ts65Dn,Memantine,S/C,t-SC-m
832,Ts65Dn,Memantine,S/C,t-SC-m
833,Ts65Dn,Memantine,S/C,t-SC-m
834,Ts65Dn,Memantine,S/C,t-SC-m
835,Ts65Dn,Memantine,S/C,t-SC-m
836,Ts65Dn,Memantine,S/C,t-SC-m
837,Ts65Dn,Memantine,S/C,t-SC-m
838,Ts65Dn,Memantine,S/C,t-SC-m
839,Ts65Dn,Memantine,S/C,t-SC-m
840,Ts65Dn,Saline,C/S,t-CS-s
841,Ts65Dn,Saline,C/S,t-CS-s
842,Ts65Dn,Saline,C/S,t-CS-s
843,Ts65Dn,Saline,C/S,t-CS-s
844,Ts65Dn,Saline,C/S,t-CS-s
845,Ts65Dn,Saline,C/S,t-CS-s
846,Ts65Dn,Saline,C/S,t-CS-s
847,Ts65Dn,Saline,C/S,t-CS-s
848,Ts65Dn,Saline,C/S,t-CS-s
849,Ts65Dn,Saline,C/S,t-CS-s
850,Ts65Dn,Saline,C/S,t-CS-s
851,Ts65Dn,Saline,C/S,t-CS-s
852,Ts65Dn,Saline,C/S,t-CS-s
853,Ts65Dn,Saline,C/S,t-CS-s
854,Ts65Dn,Saline,C/S,t-CS-s
855,Ts65Dn,Saline,C/S,t-CS-s
856,Ts65Dn,Saline,C/S,t-CS-s
857,Ts65Dn,Saline,C/S,t-CS-s
858,Ts65Dn,Saline,C/S,t-CS-s
859,Ts65Dn,Saline,C/S,t-CS-s
860,Ts65Dn,Saline,C/S,t-CS-s
861,Ts65Dn,Saline,C/S,t-CS-s
862,Ts65Dn,Saline,C/S,t-CS-s
863,Ts65Dn,Saline,C/S,t-CS-s
864,Ts65Dn,Saline,C/S,t-CS-s
865,Ts65Dn,Saline,C/S,t-CS-s
866,Ts65Dn,Saline,C/S,t-CS-s
867,Ts65Dn,Saline,C/S,t-CS-s
868,Ts65Dn,Saline,C/S,t-CS-s
869,Ts65Dn,Saline,C/S,t-CS-s
870,Ts65Dn,Saline,C/S,t-CS-s
871,Ts65Dn,Saline,C/S,t-CS-s
872,Ts65Dn,Saline,C/S,t-CS-s
873,Ts65Dn,Saline,C/S,t-CS-s
874,Ts65Dn,Saline,C/S,t-CS-s
875,Ts65Dn,Saline,C/S,t-CS-s
876,Ts65Dn,Saline,C/S,t-CS-s
877,Ts65Dn,Saline,C/S,t-CS-s
878,Ts65Dn,Saline,C/S,t-CS-s
879,Ts65Dn,Saline,C/S,t-CS-s
880,Ts65Dn,Saline,C/S,t-CS-s
881,Ts65Dn,Saline,C/S,t-CS-s
882,Ts65Dn,Saline,C/S,t-CS-s
883,Ts65Dn,Saline,C/S,t-CS-s
884,Ts65Dn,Saline,C/S,t-CS-s
885,Ts65Dn,Saline,C/S,t-CS-s
886,Ts65Dn,Saline,C/S,t-CS-s
887,Ts65Dn,Saline,C/S,t-CS-s
888,Ts65Dn,Saline,C/S,t-CS-s
889,Ts65Dn,Saline,C/S,t-CS-s
890,Ts65Dn,Saline,C/S,t-CS-s
891,Ts65Dn,Saline,C/S,t-CS-s
892,Ts65Dn,Saline,C/S,t-CS-s
893,Ts65Dn,Saline,C/S,t-CS-s
894,Ts65Dn,Saline,C/S,t-CS-s
895,Ts65Dn,Saline,C/S,t-CS-s
896,Ts65Dn,Saline,C/S,t-CS-s
897,Ts65Dn,Saline,C/S,t-CS-s
898,Ts65Dn,Saline,C/S,t-CS-s
899,Ts65Dn,Saline,C/S,t-CS-s
900,Ts65Dn,Saline,C/S,t-CS-s
901,Ts65Dn,Saline,C/S,t-CS-s
902,Ts65Dn,Saline,C/S,t-CS-s
903,Ts65Dn,Saline,C/S,t-CS-s
904,Ts65Dn,Saline,C/S,t-CS-s
905,Ts65Dn,Saline,C/S,t-CS-s
906,Ts65Dn,Saline,C/S,t-CS-s
907,Ts65Dn,Saline,C/S,t-CS-s
908,Ts65Dn,Saline,C/S,t-CS-s
909,Ts65Dn,Saline,C/S,t-CS-s
910,Ts65Dn,Saline,C/S,t-CS-s
911,Ts65Dn,Saline,C/S,t-CS-s
912,Ts65Dn,Saline,C/S,t-CS-s
913,Ts65Dn,Saline,C/S,t-CS-s
914,Ts65Dn,Saline,C/S,t-CS-s
915,Ts65Dn,Saline,C/S,t-CS-s
916,Ts65Dn,Saline,C/S,t-CS-s
917,Ts65Dn,Saline,C/S,t-CS-s
918,Ts65Dn,Saline,C/S,t-CS-s
919,Ts65Dn,Saline,C/S,t-CS-s
920,Ts65Dn,Saline,C/S,t-CS-s
921,Ts65Dn,Saline,C/S,t-CS-s
922,Ts65Dn,Saline,C/S,t-CS-s
923,Ts65Dn,Saline,C/S,t-CS-s
924,Ts65Dn,Saline,C/S,t-CS-s
925,Ts65Dn,Saline,C/S,t-CS-s
926,Ts65Dn,Saline,C/S,t-CS-s
927,Ts65Dn,Saline,C/S,t-CS-s
928,Ts65Dn,Saline,C/S,t-CS-s
929,Ts65Dn,Saline,C/S,t-CS-s
930,Ts65Dn,Saline,C/S,t-CS-s
931,Ts65Dn,Saline,C/S,t-CS-s
932,Ts65Dn,Saline,C/S,t-CS-s
933,Ts65Dn,Saline,C/S,t-CS-s
934,Ts65Dn,Saline,C/S,t-CS-s
935,Ts65Dn,Saline,C/S,t-CS-s
936,Ts65Dn,Saline,C/S,t-CS-s
937,Ts65Dn,Saline,C/S,t-CS-s
938,Ts65Dn,Saline,C/S,t-CS-s
939,Ts65Dn,Saline,C/S,t-CS-s
940,Ts65Dn,Saline,C/S,t-CS-s
941,Ts65Dn,Saline,C/S,t-CS-s
942,Ts65Dn,Saline,C/S,t-CS-s
943,Ts65Dn,Saline,C/S,t-CS-s
944,Ts65Dn,Saline,C/S,t-CS-s
945,Ts65Dn,Saline,S/C,t-SC-s
946,Ts65Dn,Saline,S/C,t-SC-s
947,Ts65Dn,Saline,S/C,t-SC-s
948,Ts65Dn,Saline,S/C,t-SC-s
949,Ts65Dn,Saline,S/C,t-SC-s
950,Ts65Dn,Saline,S/C,t-SC-s
951,Ts65Dn,Saline,S/C,t-SC-s
952,Ts65Dn,Saline,S/C,t-SC-s
953,Ts65Dn,Saline,S/C,t-SC-s
954,Ts65Dn,Saline,S/C,t-SC-s
955,Ts65Dn,Saline,S/C,t-SC-s
956,Ts65Dn,Saline,S/C,t-SC-s
957,Ts65Dn,Saline,S/C,t-SC-s
958,Ts65Dn,Saline,S/C,t-SC-s
959,Ts65Dn,Saline,S/C,t-SC-s
960,Ts65Dn,Saline,S/C,t-SC-s
961,Ts65Dn,Saline,S/C,t-SC-s
962,Ts65Dn,Saline,S/C,t-SC-s
963,Ts65Dn,Saline,S/C,t-SC-s
964,Ts65Dn,Saline,S/C,t-SC-s
965,Ts65Dn,Saline,S/C,t-SC-s
966,Ts65Dn,Saline,S/C,t-SC-s
967,Ts65Dn,Saline,S/C,t-SC-s
968,Ts65Dn,Saline,S/C,t-SC-s
969,Ts65Dn,Saline,S/C,t-SC-s
970,Ts65Dn,Saline,S/C,t-SC-s
971,Ts65Dn,Saline,S/C,t-SC-s
972,Ts65Dn,Saline,S/C,t-SC-s
973,Ts65Dn,Saline,S/C,t-SC-s
974,Ts65Dn,Saline,S/C,t-SC-s
975,Ts65Dn,Saline,S/C,t-SC-s
976,Ts65Dn,Saline,S/C,t-SC-s
977,Ts65Dn,Saline,S/C,t-SC-s
978,Ts65Dn,Saline,S/C,t-SC-s
979,Ts65Dn,Saline,S/C,t-SC-s
980,Ts65Dn,Saline,S/C,t-SC-s
981,Ts65Dn,Saline,S/C,t-SC-s
982,Ts65Dn,Saline,S/C,t-SC-s
983,Ts65Dn,Saline,S/C,t-SC-s
984,Ts65Dn,Saline,S/C,t-SC-s
985,Ts65Dn,Saline,S/C,t-SC-s
986,Ts65Dn,Saline,S/C,t-SC-s
987,Ts65Dn,Saline,S/C,t-SC-s
988,Ts65Dn,Saline,S/C,t-SC-s
989,Ts65Dn,Saline,S/C,t-SC-s
990,Ts65Dn,Saline,S/C,t-SC-s
991,Ts65Dn,Saline,S/C,t-SC-s
992,Ts65Dn,Saline,S/C,t-SC-s
993,Ts65Dn,Saline,S/C,t-SC-s
994,Ts65Dn,Saline,S/C,t-SC-s
995,Ts65Dn,Saline,S/C,t-SC-s
996,Ts65Dn,Saline,S/C,t-SC-s
997,Ts65Dn,Saline,S/C,t-SC-s
998,Ts65Dn,Saline,S/C,t-SC-s
999,Ts65Dn,Saline,S/C,t-SC-s
1000,Ts65Dn,Saline,S/C,t-SC-s
1001,Ts65Dn,Saline,S/C,t-SC-s
1002,Ts65Dn,Saline,S/C,t-SC-s
1003,Ts65Dn,Saline,S/C,t-SC-s
1004,Ts65Dn,Saline,S/C,t-SC-s
1005,Ts65Dn,Saline,S/C,t-SC-s
1006,Ts65Dn,Saline,S/C,t-SC-s
1007,Ts65Dn,Saline,S/C,t-SC-s
1008,Ts65Dn,Saline,S/C,t-SC-s
1009,Ts65Dn,Saline,S/C,t-SC-s
1010,Ts65Dn,Saline,S/C,t-SC-s
1011,Ts65Dn,Saline,S/C,t-SC-s
1012,Ts65Dn,Saline,S/C,t-SC-s
1013,Ts65Dn,Saline,S/C,t-SC-s
1014,Ts65Dn,Saline,S/C,t-SC-s
1015,Ts65Dn,Saline,S/C,t-SC-s
1016,Ts65Dn,Saline,S/C,t-SC-s
1017,Ts65Dn,Saline,S/C,t-SC-s
1018,Ts65Dn,Saline,S/C,t-SC-s
1019,Ts65Dn,Saline,S/C,t-SC-s
1020,Ts65Dn,Saline,S/C,t-SC-s
1021,Ts65Dn,Saline,S/C,t-SC-s
1022,Ts65Dn,Saline,S/C,t-SC-s
1023,Ts65Dn,Saline,S/C,t-SC-s
1024,Ts65Dn,Saline,S/C,t-SC-s
1025,Ts65Dn,Saline,S/C,t-SC-s
1026,Ts65Dn,Saline,S/C,t-SC-s
1027,Ts65Dn,Saline,S/C,t-SC-s
1028,Ts65Dn,Saline,S/C,t-SC-s
1029,Ts65Dn,Saline,S/C,t-SC-s
1030,Ts65Dn,Saline,S/C,t-SC-s
1031,Ts65Dn,Saline,S/C,t-SC-s
1032,Ts65Dn,Saline,S/C,t-SC-s
1033,Ts65Dn,Saline,S/C,t-SC-s
1034,Ts65Dn,Saline,S/C,t-SC-s
1035,Ts65Dn,Saline,S/C,t-SC-s
1036,Ts65Dn,Saline,S/C,t-SC-s
1037,Ts65Dn,Saline,S/C,t-SC-s
1038,Ts65Dn,Saline,S/C,t-SC-s
1039,Ts65Dn,Saline,S/C,t-SC-s
1040,Ts65Dn,Saline,S/C,t-SC-s
1041,Ts65Dn,Saline,S/C,t-SC-s
1042,Ts65Dn,Saline,S/C,t-SC-s
1043,Ts65Dn,Saline,S/C,t-SC-s
1044,Ts65Dn,Saline,S/C,t-SC-s
1045,Ts65Dn,Saline,S/C,t-SC-s
1046,Ts65Dn,Saline,S/C,t-SC-s
1047,Ts65Dn,Saline,S/C,t-SC-s
1048,Ts65Dn,Saline,S/C,t-SC-s
1049,Ts65Dn,Saline,S/C,t-SC-s
1050,Ts65Dn,Saline,S/C,t-SC-s
1051,Ts65Dn,Saline,S/C,t-SC-s
1052,Ts65Dn,Saline,S/C,t-SC-s
1053,Ts65Dn,Saline,S/C,t-SC-s
1054,Ts65Dn,Saline,S/C,t-SC-s
1055,Ts65Dn,Saline,S/C,t-SC-s
1056,Ts65Dn,Saline,S/C,t-SC-s
1057,Ts65Dn,Saline,S/C,t-SC-s
1058,Ts65Dn,Saline,S/C,t-SC-s
1059,Ts65Dn,Saline,S/C,t-SC-s
1060,Ts65Dn,Saline,S/C,t-SC-s
1061,Ts65Dn,Saline,S/C,t-SC-s
1062,Ts65Dn,Saline,S/C,t-SC-s
1063,Ts65Dn,Saline,S/C,t-SC-s
1064,Ts65Dn,Saline,S/C,t-SC-s
1065,Ts65Dn,Saline,S/C,t-SC-s
1066,Ts65Dn,Saline,S/C,t-SC-s
1067,Ts65Dn,Saline,S/C,t-SC-s
1068,Ts65Dn,Saline,S/C,t-SC-s
1069,Ts65Dn,Saline,S/C,t-SC-s
1070,Ts65Dn,Saline,S/C,t-SC-s
1071,Ts65Dn,Saline,S/C,t-SC-s
1072,Ts65Dn,Saline,S/C,t-SC-s
1073,Ts65Dn,Saline,S/C,t-SC-s
1074,Ts65Dn,Saline,S/C,t-SC-s
1075,Ts65Dn,Saline,S/C,t-SC-s
1076,Ts65Dn,Saline,S/C,t-SC-s
1077,Ts65Dn,Saline,S/C,t-SC-s
1078,Ts65Dn,Saline,S/C,t-SC-s
1079,Ts65Dn,Saline,S/C,t-SC-s
